brand,product_links
"giorgio-armani-beauty
","['Armani Beauty', 'https://www.sephora.com/product/lip-maestro-liquid-lipstick-P393411?skuId=1441583&icid2=products grid:p393411:product']"
"giorgio-armani-beauty
","['Armani Beauty', 'https://www.sephora.com/product/giorgio-armani-beauty-mini-lip-maestro-liquid-lipstick-trio-P477456?skuId=2415123&icid2=products grid:p477456:product']"
"tocca
","['TOCCA', 'https://www.sephora.com/product/florence-P38221?skuId=1658194&icid2=products grid:p38221:product']"
"tocca
","['TOCCA', 'https://www.sephora.com/product/giulietta-P234438?skuId=1170315&icid2=products grid:p234438:product']"
"tocca
","['TOCCA', 'https://www.sephora.com/product/cleopatra-P54900?skuId=1005727&icid2=products grid:p54900:product']"
"tocca
","['TOCCA', 'https://www.sephora.com/product/simone-P385639?skuId=1586007&icid2=products grid:p385639:product']"
"tocca
","['TOCCA', 'https://www.sephora.com/product/colette-collection-P270025?skuId=1658160&icid2=products grid:p270025:product']"
"tocca
","['TOCCA', 'https://www.sephora.com/product/maya-P428443?skuId=2038800&icid2=products grid:p428443:product']"
"tocca
","['TOCCA', 'https://www.sephora.com/product/stella-P38220?skuId=963280&icid2=products grid:p38220:product']"
"lancome
","['Lancôme', 'https://www.sephora.com/product/lancome-lash-idole-lash-lifting-volumizing-mascara-P467208?skuId=2417145&icid2=products grid:p467208:product']"
"lancome
","['Lancôme', 'https://www.sephora.com/product/teint-idole-ultra-24h-long-wear-foundation-P308201?skuId=1399120&icid2=products grid:p308201:product']"
"lancome
","['Lancôme', 'https://www.sephora.com/product/lancome-teint-idole-ultra-wear-all-over-full-coverage-concealer-P473717?skuId=2466837&icid2=products grid:p473717:product']"
"lancome
","['Lancôme', 'https://www.sephora.com/product/cils-booster-xl-super-enhancing-mascara-base-P128706?skuId=2109965&icid2=products grid:p128706:product']"
"lancome
","['Lancôme', 'https://www.sephora.com/product/advanced-genifique-youth-activating-serum-P379510?skuId=1528066&icid2=products grid:p379510:product']"
"lancome
","['Lancôme', 'https://www.sephora.com/product/l-absolu-rouge-P244911?skuId=2493971&icid2=products grid:p244911:product']"
"lancome
","['Lancôme', 'https://www.sephora.com/product/monsieur-big-mascara-P419848?skuId=1956176&icid2=products grid:p419848:product']"
"tower-28
","['Tower 28 Beauty', 'https://www.sephora.com/product/beachplease-tinted-balm-blush-P449342?skuId=2284875&icid2=products grid:p449342:product']"
"tower-28
","['Tower 28 Beauty', 'https://www.sephora.com/product/shineon-lip-jelly-P448854?skuId=2328094&icid2=products grid:p448854:product']"
"tower-28
","['Tower 28 Beauty', 'https://www.sephora.com/product/tower-28-sunnydays-spf-30-tinted-sunscreen-foundation-P477829?skuId=2484558&icid2=products grid:p477829:product']"
"tower-28
","['Tower 28 Beauty', 'https://www.sephora.com/product/sos-save-our-skin-daily-rescue-facial-spray-P448852?skuId=2527844&icid2=products grid:p448852:product']"
"tower-28
","['Tower 28 Beauty', 'https://www.sephora.com/product/tower-28-shineon-milky-lip-jelly-P462895?skuId=2375426&icid2=products grid:p462895:product']"
"tower-28
","['Tower 28 Beauty', 'https://www.sephora.com/product/tower-28-bronzino-illuminating-bronzer-P458281?skuId=2455400&icid2=products grid:p458281:product']"
"tower-28
","['Tower 28 Beauty', 'https://www.sephora.com/product/superdew-shimmer-free-highlight-balm-P448855?skuId=2284867&icid2=products grid:p448855:product']"
"sakara-life
","['Sakara Life', 'https://www.sephora.com/product/sakara-life-metabolism-super-powder-P450958?skuId=2295780&icid2=products grid:p450958:product']"
"sakara-life
","['Sakara Life', 'https://www.sephora.com/product/sakara-life-beauty-detox-water-drops-duo-P450959?skuId=2295798&icid2=products grid:p450959:product']"
"sakara-life
","['Sakara Life', 'https://www.sephora.com/product/sakara-life-super-powder-P450960?skuId=2295814&icid2=products grid:p450960:product']"
"sakara-life
","['Sakara Life', 'https://www.sephora.com/product/sakara-life-complete-probiotic-formula-P468212?skuId=2432060&icid2=products grid:p468212:product']"
"jillian-dempsey
","['Jillian Dempsey', 'https://www.sephora.com/product/gold-sculpting-bar-P449156?skuId=2284420&icid2=products grid:p449156:product']"
"clarins
","['Clarins', 'https://www.sephora.com/product/double-serum-complete-age-control-concentrate-P421235?skuId=1973973&icid2=products grid:p421235:product']"
"clarins
","['Clarins', 'https://www.sephora.com/product/instant-light-lip-comfort-oil-P407406?skuId=1800150&icid2=products grid:p407406:product']"
"clarins
","['Clarins', 'https://www.sephora.com/product/clarins-total-eye-lift-P462666?skuId=2381002&icid2=products grid:p462666:product']"
"clarins
","['Clarins', 'https://www.sephora.com/product/tonic-body-treatment-oil-P95070?skuId=74773&icid2=products grid:p95070:product']"
"clarins
","['Clarins', 'https://www.sephora.com/product/v-facial-intensive-wrap-P408230?skuId=1819952&icid2=products grid:p408230:product']"
"clarins
","['Clarins', 'https://www.sephora.com/product/body-fit-anti-cellulite-contouring-expert-P415749?skuId=2491694&icid2=products grid:p415749:product']"
"clarins
","['Clarins', 'https://www.sephora.com/product/clarins-extra-firming-neck-P456194?skuId=2340297&icid2=products grid:p456194:product']"
"clarins
","['Clarins', 'https://www.sephora.com/product/lotus-face-treatment-oil-P379064?skuId=1528264&icid2=products grid:p379064:product']"
"versace
","['Versace', 'https://www.sephora.com/product/bright-crystal-P163103?skuId=1063619&icid2=products grid:p163103:product']"
"versace
","['Versace', 'https://www.sephora.com/product/crystal-noir-P307000?skuId=1406586&icid2=products grid:p307000:product']"
"versace
","['Versace', 'https://www.sephora.com/product/dylan-blue-pour-femme-P429981?skuId=2052546&icid2=products grid:p429981:product']"
"versace
","['Versace', 'https://www.sephora.com/product/versace-dylan-turquoise-P468856?skuId=2427482&icid2=products grid:p468856:product']"
"versace
","['Versace', 'https://www.sephora.com/product/bright-crystal-absolu-P385465?skuId=1605385&icid2=products grid:p385465:product']"
"versace
","['Versace', 'https://www.sephora.com/product/eros-pour-femme-eau-de-toilette-P412536?skuId=1849165&icid2=products grid:p412536:product']"
"versace
","['Versace', 'https://www.sephora.com/product/yellow-diamond-P307002?skuId=1395748&icid2=products grid:p307002:product']"
"l-occitane
","[""L'Occitane"", 'https://www.sephora.com/product/hand-creams-P307907?skuId=1594449&icid2=products grid:p307907:product']"
"l-occitane
","[""L'Occitane"", 'https://www.sephora.com/product/cleansing-softening-shower-oil-with-almond-oil-P107319?skuId=763706&icid2=products grid:p107319:product']"
"l-occitane
","[""L'Occitane"", 'https://www.sephora.com/product/shea-butter-intensive-hand-balm-P449167?skuId=2230456&icid2=products grid:p449167:product']"
"l-occitane
","[""L'Occitane"", 'https://www.sephora.com/product/almond-smoothing-and-beautifying-milk-concentrate-P66703?skuId=1626530&icid2=products grid:p66703:product']"
"l-occitane
","[""L'Occitane"", 'https://www.sephora.com/product/shea-nail-cuticle-oil-P387512?skuId=1630292&icid2=products grid:p387512:product']"
"l-occitane
","[""L'Occitane"", 'https://www.sephora.com/product/shea-butter-ultra-rich-body-cream-P238001?skuId=1169176&icid2=products grid:p238001:product']"
"l-occitane
","[""L'Occitane"", 'https://www.sephora.com/product/hand-creams-mini-P425327?skuId=1382787&icid2=products grid:p425327:product']"
"l-occitane
","[""L'Occitane"", 'https://www.sephora.com/product/shea-butter-foot-cream-P451282?skuId=2298784&icid2=products grid:p451282:product']"
"carolina-herrera
","['Carolina Herrera', 'https://www.sephora.com/product/good-girl-P420533?skuId=1960707&icid2=products grid:p420533:product']"
"carolina-herrera
","['Carolina Herrera', 'https://www.sephora.com/product/carolina-herrera-very-good-girl-eau-de-parfum-P474032?skuId=2468098&icid2=products grid:p474032:product']"
"carolina-herrera
","['Carolina Herrera', 'https://www.sephora.com/product/carolina-herrera-good-girl-eau-de-parfum-supreme-P460444?skuId=2373686&icid2=products grid:p460444:product']"
"carolina-herrera
","['Carolina Herrera', 'https://www.sephora.com/product/legere-P438526?skuId=2099752&icid2=products grid:p438526:product']"
"carolina-herrera
","['Carolina Herrera', 'https://www.sephora.com/product/good-girl-rollerball-P434500?skuId=2082261&icid2=products grid:p434500:product']"
"carolina-herrera
","['Carolina Herrera', 'https://www.sephora.com/product/carolina-herrera-bad-boy-eau-de-toilette-P471747?skuId=2353498&icid2=products grid:p471747:product']"
"carolina-herrera
","['Carolina Herrera', 'https://www.sephora.com/product/legere-rollerball-P440909?skuId=2171296&icid2=products grid:p440909:product']"
"jack-black
","['Jack Black', 'https://www.sephora.com/product/intense-therapy-lip-balm-spf-25-P12573?skuId=564344&icid2=products grid:p12573:product']"
"jack-black
","['Jack Black', 'https://www.sephora.com/product/jack-black-lip-service-lip-balm-duo-mint-shea-P474057?skuId=2456259&icid2=products grid:p474057:product']"
"jack-black
","['Jack Black', 'https://www.sephora.com/product/double-duty-face-moisturizer-broad-spectrum-spf-20-P40629?skuId=662429&icid2=products grid:p40629:product']"
"jack-black
","['Jack Black', 'https://www.sephora.com/product/skin-saviors-tm-P428414?skuId=2053122&icid2=products grid:p428414:product']"
"jack-black
","['Jack Black', 'https://www.sephora.com/product/jack-black-lip-balm-trio-P458573?skuId=2332971&icid2=products grid:p458573:product']"
"jack-black
","['Jack Black', 'https://www.sephora.com/product/beard-grooming-kit-tm-P425428?skuId=2025765&icid2=products grid:p425428:product']"
"jack-black
","['Jack Black', 'https://www.sephora.com/product/pure-clean-daily-facial-cleanser-P171300?skuId=973628&icid2=products grid:p171300:product']"
"donna-karan
","['Donna Karan', 'https://www.sephora.com/product/cashmere-mist-deodorant-P380541?skuId=592527&icid2=products grid:p380541:product']"
"donna-karan
","['Donna Karan', 'https://www.sephora.com/product/cashmere-mist-eau-de-parfum-P41391?skuId=860940&icid2=products grid:p41391:product']"
"donna-karan
","['Donna Karan', 'https://www.sephora.com/product/cashmere-mist-travel-spray-P440445?skuId=2189009&icid2=products grid:p440445:product']"
"donna-karan
","['Donna Karan', 'https://www.sephora.com/product/cashmere-mist-P41378?skuId=83410&icid2=products grid:p41378:product']"
"donna-karan
","['Donna Karan', 'https://www.sephora.com/product/cashmere-mist-body-lotion-P380540?skuId=83360&icid2=products grid:p380540:product']"
"donna-karan
","['Donna Karan', 'https://www.sephora.com/product/cashmere-mist-body-creme-P380539?skuId=592501&icid2=products grid:p380539:product']"
"evian
","['Evian', 'https://www.sephora.com/product/mineral-water-spray-P2043?skuId=112680&icid2=products grid:p2043:product']"
"evian
","['Evian', 'https://www.sephora.com/product/mineral-water-spray-duo-to-go-P230538?skuId=1154897&icid2=products grid:p230538:product']"
"evian
","['Evian', 'https://www.sephora.com/product/travel-trio-P2046?skuId=112706&icid2=products grid:p2046:product']"
"l-oreal-professionnel
","[""L'Oreal Professionnel"", 'https://www.sephora.com/product/l-oreal-professionnel-lp-steampod-2021-le-barbie-P477186?skuId=2505451&icid2=products grid:p477186:product']"
"l-oreal-professionnel
","[""L'Oreal Professionnel"", 'https://www.sephora.com/product/l-oreal-professionnel-steampod-curling-iron-hair-straightener-P467255?skuId=2425007&icid2=products grid:p467255:product']"
"dolce-gabbana
","['DOLCE&GABBANA', 'https://www.sephora.com/product/light-blue-P12420?skuId=563338&icid2=products grid:p12420:product']"
"dolce-gabbana
","['DOLCE&GABBANA', 'https://www.sephora.com/product/dolce-P385301?skuId=1601301&icid2=products grid:p385301:product']"
"dolce-gabbana
","['DOLCE&GABBANA', 'https://www.sephora.com/product/light-blue-pour-homme-P186402?skuId=1019991&icid2=products grid:p186402:product']"
"dolce-gabbana
","['DOLCE&GABBANA', 'https://www.sephora.com/product/light-blue-pour-femme-eau-intense-P418849?skuId=1942812&icid2=products grid:p418849:product']"
"dolce-gabbana
","['DOLCE&GABBANA', 'https://www.sephora.com/product/3-l-imperatrice-P245901?skuId=1209907&icid2=products grid:p245901:product']"
"dolce-gabbana
","['DOLCE&GABBANA', 'https://www.sephora.com/product/light-blue-intense-pour-homme-P419011?skuId=1942853&icid2=products grid:p419011:product']"
"dolce-gabbana
","['DOLCE&GABBANA', 'https://www.sephora.com/product/the-one-for-men-P224300?skuId=1527332&icid2=products grid:p224300:product']"
"marc-jacobs-fragrances
","['Marc Jacobs Fragrances', 'https://www.sephora.com/product/marc-jacobs-fragrances-perfect-eau-de-parfum-P460871?skuId=2362812&icid2=products grid:p460871:product']"
"marc-jacobs-fragrances
","['Marc Jacobs Fragrances', 'https://www.sephora.com/product/daisy-P191858?skuId=1029958&icid2=products grid:p191858:product']"
"marc-jacobs-fragrances
","['Marc Jacobs Fragrances', 'https://www.sephora.com/product/marc-jacobs-fragrances-daisy-skies-eau-de-toilette-P480183?skuId=2544138&icid2=products grid:p480183:product']"
"marc-jacobs-fragrances
","['Marc Jacobs Fragrances', 'https://www.sephora.com/product/marc-jacobs-fragrances-daisy-skies-love-eau-de-toilette-P480185?skuId=2544153&icid2=products grid:p480185:product']"
"marc-jacobs-fragrances
","['Marc Jacobs Fragrances', 'https://www.sephora.com/product/daisy-love-P431151?skuId=2036960&icid2=products grid:p431151:product']"
"marc-jacobs-fragrances
","['Marc Jacobs Fragrances', 'https://www.sephora.com/product/marc-jacobs-fragrances-daisy-skies-eau-so-fresh-eau-de-toilette-P480184?skuId=2544146&icid2=products grid:p480184:product']"
